	id	url	price	title
0	1733958	/web-html-css-javascript-jqueryhtml5css3/	0	Web前端开发 -使用 HTML, CSS, Javascript, jQuery,HTML5、CSS3 等建立网站
1	1717132	/html-css-p/	69.99	最適合初學者的網頁設計課程-HTML & CSS教學
2	1648114	/python-stock-data/	204.99	Python 入門到製作股市分析
3	1465666	/git-basic/	39.99	Git/GitHub/GitLab完全教程2018
4	1702064	/python-flask-and-sqlalchemy-orm/	84.99	Python Flask 輕量級框架 & SQLAlchemy ORM 實戰
5	1719582	/sql-servermysql/	204.99	關聯式資料庫設計SQL Server和MySQL資料庫-從零開始親手學習資料庫系統
6	1697832	/reactjs-redux/	44.99	快速學習 React.js 和 Redux 的基礎到實踐
7	1621838	/wordpress-wd/	24.99	WordPress网页制作A-Z：教您编写个人网页/个人博客，公司主页/品牌主站，电商网站
8	1701716	/seo-ip5000/	24.99	搜索引擎优化SEO优化从入门到入坑
9	1692496	/git-newbie/	129.99	精通 Git 版本控管：從入門到進階
10	1637606	/vue-hexschool/	89.99	Vue 出一個電商網站
11	1436446	/line-bot/	39.99	Line Bot 對談機器人開發立即上手
12	1545984	/web-javascript/	144.99	Web前端开发 - 玩转JavaScript  【以实战为基础】
13	1665348	/jquery-basic/	79.99	jQuery入門超簡單，無痛邁入網頁前端第一步！
14	1682732	/python3-handbook/	24.99	适合新手的Python3进阶直达课程
15	1661414	/php-mysql-u/	69.99	一堂課學會 PHP +MySQL !
16	1663716	/go-bootstrap4/	104.99	Bootstrap 4最強實戰教學，讓你現學現用
17	1649958	/laravel56/	0	laravel5.6 零基础入门
18	1575218	/python-tensorflow/	199.99	Python 機器學習-親手TensorFlow實作手寫辨識與Python強化學習車桿平衡
19	1582694	/unity3dc/	99.99	Unity3d遊戲設計使用C#
20	1644334	/bulabean-superscrapy/	124.99	Python爬虫：脚本爬虫和Scrapy框架
21	1200234	/firebase-ios/	29.99	丹尼老師的 Firebase指南 - iOS 篇
22	1634932	/ffmpeg-qt/	44.99	FFmpeg + qt 音视频播放器 C++ 跨平台实战
23	1617580	/angular-zero/	204.99	Angular 開發實戰：從零開始
24	1610830	/tensorflow-c/	204.99	Python程式設計與資料科學基礎--從零開始親手學習Python程式語言-親手徹底研究TensorFlow程式設計
25	1594168	/ffmpeg-android/	64.99	Android 视频 (流媒体) 播放器开发实战
26	1591114	/python-env/	104.99	Python完全指南 - 環境
27	1591096	/golang-fight/	109.99	Go 語言基礎實戰
28	1586666	/react-native-vane/	104.99	React Native中文全系列教程
29	1583406	/webpage-design/	104.99	网页设计实例
30	1530910	/hkt-kotlin-basic/	204.99	從零開始學 Kotlin 程式設計
