	id	url	price	title
0	1733958	/web-html-css-javascript-jqueryhtml5css3/	0	Web前端开发 -使用 HTML, CSS, Javascript, jQuery,HTML5、CSS3 等建立网站
1	1720394	/abaojiaoyu/	29.99	影视传媒与短视频制作全系列教程
2	1737560	/dzyjqgct/	64.99	銷售文案の進擊
3	1717268	/pupdzhfz/	64.99	马来西亚教育文凭高级数学，中四，第六课：坐标几何
4	1734558	/marketingbased/	104.99	網路數位行銷基礎課程
5	1717132	/html-css-p/	69.99	最適合初學者的網頁設計課程-HTML & CSS教學
6	1648114	/python-stock-data/	204.99	Python 入門到製作股市分析
7	1718354	/acctexcel-02/	24.99	Excel自訂儲存格格式的實務應用
8	1707928	/emeglsed/	204.99	幼儿华文课程
9	1465666	/git-basic/	39.99	Git/GitHub/GitLab完全教程2018
10	1710684	/blockchaininvest/	124.99	區塊鏈入門與投資
11	1702064	/python-flask-and-sqlalchemy-orm/	84.99	Python Flask 輕量級框架 & SQLAlchemy ORM 實戰
12	1719582	/sql-servermysql/	204.99	關聯式資料庫設計SQL Server和MySQL資料庫-從零開始親手學習資料庫系統
13	1684068	/subjuntivoconexperienciadevida1/	54.99	用生活經驗    秒懂西班牙語四種虛擬式（初階版）
14	1697832	/reactjs-redux/	44.99	快速學習 React.js 和 Redux 的基礎到實踐
15	1621838	/wordpress-wd/	24.99	WordPress网页制作A-Z：教您编写个人网页/个人博客，公司主页/品牌主站，电商网站
16	1701716	/seo-ip5000/	24.99	搜索引擎优化SEO优化从入门到入坑
17	746750	/zjchjhfj/	54.99	微信行銷中階班（業務高手班）
18	1692496	/git-newbie/	129.99	精通 Git 版本控管：從入門到進階
19	1698722	/qokjggjn/	54.99	马来西亚教育文凭高级数学，中四，第五课：指数与对数
20	1637606	/vue-hexschool/	89.99	Vue 出一個電商網站
21	1698712	/vkgztxdj/	24.99	马来西亚教育文凭高级数学，中四，第四课：联立方程式
22	1444066	/nxvuiisl/	54.99	马来西亚教育文凭高级数学，中四，第三课：二次函数
23	1436446	/line-bot/	39.99	Line Bot 對談機器人開發立即上手
24	1545984	/web-javascript/	144.99	Web前端开发 - 玩转JavaScript  【以实战为基础】
25	1665348	/jquery-basic/	79.99	jQuery入門超簡單，無痛邁入網頁前端第一步！
26	1448758	/vba-web-scaping/	154.99	VBA網路爬蟲:高效率抓取投資資訊
27	1682732	/python3-handbook/	24.99	适合新手的Python3进阶直达课程
28	1661414	/php-mysql-u/	69.99	一堂課學會 PHP +MySQL !
29	1135872	/caroleft/	204.99	EFT情緒療癒排毒講座和練習 (Tapping)
30	1663716	/go-bootstrap4/	104.99	Bootstrap 4最強實戰教學，讓你現學現用
31	1668392	/intermediate-chinese-reading-first-language-y5/	134.99	Intermediate Chinese Reading (First Language) Y5W001
32	1660362	/how-to-use-the-color-lead-to-draw-beautiful-game-characters/	29.99	How to use the color lead to draw beautiful game characters?
33	1649958	/laravel56/	0	laravel5.6 零基础入门
34	1626988	/3-rakmvx/	54.99	参加日商簿記3級讲座吧！（中国語で日商簿記3級講座を受講しよう）
35	1410408	/qxawfrgs/	44.99	马来西亚教育文凭高级数学，中四，第二课：一元二次方程式
36	1575218	/python-tensorflow/	199.99	Python 機器學習-親手TensorFlow實作手寫辨識與Python強化學習車桿平衡
37	1620862	/goolge-tag-manager/	89.99	Goolge Tag Manager实战指南
38	1626944	/google-analytics-f/	44.99	产品分析与优化(基于Google Analytics)
39	1582694	/unity3dc/	99.99	Unity3d遊戲設計使用C#
40	1644334	/bulabean-superscrapy/	124.99	Python爬虫：脚本爬虫和Scrapy框架
41	1200234	/firebase-ios/	29.99	丹尼老師的 Firebase指南 - iOS 篇
42	1583090	/bkacourse1/	84.99	數位行銷必備知識：想做數位行銷，從這裡入門！
43	1634932	/ffmpeg-qt/	44.99	FFmpeg + qt 音视频播放器 C++ 跨平台实战
44	1393994	/cipm-abc/	24.99	Privacy Exam Preparation Quiz For CIPM
45	1443300	/spm-additional-mathematics-form-4-chapter-1-functions/	54.99	马来西亚教育文凭高级数学，中四，第一课：函数
46	1617580	/angular-zero/	204.99	Angular 開發實戰：從零開始
47	1621000	/app-ichdata/	44.99	APP第三方工具原理解析与选型
48	1620952	/digital-marketing-in-ichdata/	54.99	互联网数字营销
49	1604800	/umjilsca/	0	創業開店必修財務基礎
50	1610830	/tensorflow-c/	204.99	Python程式設計與資料科學基礎--從零開始親手學習Python程式語言-親手徹底研究TensorFlow程式設計
51	1594786	/microsoft-sql-data-analytics/	74.99	数据分析技能速成 Microsoft SQL
52	1603840	/incasedo_0001/	24.99	汉字的起源
53	1594168	/ffmpeg-android/	64.99	Android 视频 (流媒体) 播放器开发实战
54	1591114	/python-env/	104.99	Python完全指南 - 環境
55	1591096	/golang-fight/	109.99	Go 語言基礎實戰
56	1581914	/adobe-2-flashdreamweaver/	39.99	Adobe大補帖-2( Flash,Dreamweaver)
57	1586666	/react-native-vane/	104.99	React Native中文全系列教程
58	1564732	/moremoney/	44.99	多角人生：如何創造你的多重收入人生
59	1577174	/photoshop-edit/	84.99	設計不求人! 商品PS修圖實戰課程
60	1583406	/webpage-design/	104.99	网页设计实例
61	1579596	/ajdwfdpe/	0	初學吉他基礎單音及基礎指彈訓練
62	1530910	/hkt-kotlin-basic/	204.99	從零開始學 Kotlin 程式設計
63	1374002	/ipad-ios-hyperpad/	39.99	iPad 免編程快速開發 iOS 遊戲神器 : hyperPad
64	1575332	/google-tag-manager-1/	34.99	Google Tag Manager入门课程
65	1575260	/google-analytics-case/	69.99	Google Analytics应用案例
66	1422632	/gina-50-english-phrases/	29.99	50個最常見實用英文片語
67	1320112	/spring-boot-quickstart/	24.99	Spring Boot 入门
68	1563338	/bulabean-scrapy/	0	Python基础：Scrapy爬虫
69	1504488	/unrealeventdistributionutilityzh/	24.99	虚幻4引擎事件分发机制
70	1564340	/business-japanese-course-for-beginners-vol2_cn/	84.99	商务日语之路　初级篇　下卷
71	1564336	/business-japanese-course-for-beginners-vol1_cn/	84.99	商务日语之路　初级篇　上卷
72	1495696	/python-za/	204.99	Python 程式設計教學---從零開始徹底精通Python,親手實作網站擷取與資料分析,精通Selenium
73	1287360	/ccclub-python-for-beginners/	54.99	跟著商管女孩一起學 Python
74	1556862	/react-qs/	24.99	React零基础快速入门
75	1243698	/scratch2018/	0	Scratch编程启蒙项目化学习
76	1489098	/python-currency_remind/	204.99	Python 匯率即時提醒平台
77	1496772	/chuangyedajiangtang/	104.99	创业大讲堂
78	1477370	/google-analytics-l/	34.99	Google Analytics简介
79	1456612	/web-htmlcss/	124.99	Web前端开发 - 玩转HTML&CSS【课程以实战为基础】
80	1430248	/lessonfive/	44.99	基礎英文第五課
81	1543022	/sketchup-pro-certified/	39.99	SketchUp Pro Certified｜原廠中文教材
82	1532228	/ios11-apps-dev-intro-zh/	0	iOS 11 iPhone Apps開發極速入門班（普通話授課）
83	1515268	/baby-geh/	54.99	發光BABY肌-保養彩妝課程
84	1529788	/develop-bitcoin-wallet-with-nodejs/	124.99	用NodeJS開發 Bitcoin wallet
85	1518304	/fb-messenger-chatbot/	24.99	行銷自動化的必備工具！一小時學會做臉書聊天機器人
86	1539874	/excel-iu/	24.99	excel
87	1532224	/ggxxvsal/	84.99	股票不難，難的是人性II(如何買在股票起漲點!!)
88	945456	/scratch-programming-kids-demo-cn/	54.99	跟海归博士一起学Scratch少儿趣味编程
89	1493926	/2018brand/	24.99	手把手教你如何打造个人品牌
90	1523298	/ios-apps-dev-intro-cantonese/	0	iOS 11 iPhone Apps開發極速入門班（廣東話授課）
91	1509592	/adobe-premiere-photoshop-illustrator/	69.99	Adobe大補帖( Premiere, Photoshop, illustrator)
92	1513638	/testng-complete-version/	104.99	TestNG测试框架完整版 - 从初学到精通
93	1476754	/clairelaoshi/	49.99	華語教學之個人行銷點.線.面
94	1518754	/acctexcel-001/	24.99	一次學會Excel選項中關於一般設置的各個功能
95	1335706	/brainhack101/	39.99	如何记忆一本书「超级记忆法」
96	1510382	/spring-boot-u/	104.99	Spring Boot从入门到高级实战课程
97	1521048	/medialive/	24.99	新媒体运营技巧
98	1516790	/android-intro-zh/	0	2小時成為Android開發者（普通話授課）
99	1511918	/javascript-es6-react-redux/	189.99	React 前端開發：從入門到進階
100	1475454	/python-learn/	204.99	Python - 輕鬆學會寫程式
101	1470794	/hsung-govmoney-1/	24.99	（適用台灣股市）官股行庫操作分析研判方法（盤勢多空判斷法之一）
102	1502224	/netcore2/	154.99	給 C# 開發人員的第一堂 .NET Core 入門課
103	1501028	/autocad01/	84.99	室內設計Autocad全修班
104	1497064	/android-app/	79.99	Android App開發 -- 從UI設計到App上架
105	1491920	/spring-boot/	49.99	Spring Boot开发一个小而美的个人博客
106	1493624	/lvchanghua/	24.99	讲故事学演讲
107	1486072	/intro-to-ether/	204.99	区块链之以太坊 (PoW + PoS 算法 + 设计原理 + Solidity合约安全) 视频教程
108	1478722	/latex-ke/	24.99	零基础入门LaTeX排版
109	1454506	/vs2017go/	99.99	Visual Studio 2017 開發環境全面解析
110	1478450	/3d-motion-capture/	0	3D Motion Capture三維動作分析
111	1480402	/unity-op/	104.99	Unity基礎入門全套視頻教程
112	1478416	/10cocos2d-x/	64.99	10天學會遊戲開發cocos2d-x高級渲染技術
113	1475920	/wordpress-h/	54.99	wordpress博客搭建培訓教程
114	1474826	/office-onenote/	24.99	从零开始学Office OneNote
115	1474526	/office2010-powerpoint/	24.99	Office2010  PowerPoint 完全视频教程
116	1464976	/apwzzfhf/	29.99	從零開始認識選擇權-投資高手教你快速入門適合上班族的選擇權操作
117	1311478	/python-partygo/	129.99	Python Flask 實務課程教學 從無到有開發 PartyGo 活動平台
118	1463542	/chinese-learning-english-fast-advanced-2/	24.99	Chinese Learning English Fast Advanced 2
119	1463514	/chinese-learning-english-fast-advanced-1/	24.99	Chinese Learning English Fast Advanced 1
120	1463510	/chinese-learning-english-fast-intermediate-2/	24.99	Chinese Learning English Fast Intermediate 2
